donor_id,donor_name,donor_type,email,first_gift_date,state
DNR-00001,Allison Hill,Individual,donaldgarcia@example.net,2023-08-21,MH
DNR-00002,"Miller, Henderson and Johnson",Foundation/Trust,jesseguzman@example.net,2024-11-13,ID
DNR-00003,Meredith Barnes,Individual,zlawrence@example.org,2024-01-26,WV
DNR-00004,Melissa Peterson,Individual,jasongallagher@example.org,2023-12-26,CO
DNR-00005,Ian Cooper,Individual,lindsay78@example.org,2023-09-04,MS
DNR-00006,  EDWARD FULLER  ,Individual,barbara10@example.net,2024-09-20,IN
DNR-00007,Victoria Wyatt,Individual,jamesshawn@example.com,2023-08-24,GA
DNR-00008,Kelly-Santiago,Organization,lynchgeorge@example.net,2025-11-06,IA
DNR-00009,James Mayo,Individual,gabriellecameron@example.org,2025-01-20,IN
DNR-00010,Renee Morales,Individual,clarksherri@example.net,2023-07-14,MD
DNR-00011,Jonathan Wilkerson,Individual,ithomas@example.org,2024-05-22,WA
DNR-00012,"Ryan, Burgess and Patterson",Foundation/Trust,icox@example.net,2025-05-27,NM
DNR-00013,Campos Inc,Organization,courtneyconner@example.com,2024-09-13,PA
DNR-00014,James Ferrell,Individual,tasha01@example.net,2025-05-20,FM
DNR-00015,Debra Davidson,Individual,cartereric@example.org,2025-08-17,VA
DNR-00016,Deborah Mason,Individual,williamrodriguez@example.net,2025-06-04,ME
DNR-00017,Katie Gonzalez,Individual,kathryn88@example.org,2023-09-27,PA
DNR-00018,Alec Hickman,Individual,john39@example.org,2024-03-12,CO
DNR-00019,Rose Spence,Individual,davidalvarez@example.net,2025-08-14,GA
DNR-00020,Shane Henderson,Individual,sarahcampos@example.net,2025-02-20,ID
DNR-00021,Jennifer Powers,Individual,samuel87@example.org,2025-07-10,IA
DNR-00022,George Chapman,Individual,briannasmith@example.net,2023-11-20,SC
DNR-00023,Austin Johnson,Individual,chad34@example.net,2024-10-09,NM
DNR-00024,Carlos Walls,Individual,esanchez@example.com,2023-12-11,ID
DNR-00025,Matthew Gomez,Individual,uowens@example.org,2024-01-23,TX
DNR-00026,"Joyce, Garcia and Powell",Organization,lauren13@example.org,2026-01-14,ID
DNR-00027,Brenda White,Individual,ewright@example.com,2025-07-17,AS
DNR-00028,Krista Williams,Individual,novaksara@example.org,2025-06-27,GA
DNR-00029,John Hancock,Individual,martinaaron@example.com,2024-12-28,KS
DNR-00030,Rachel Mitchell,Individual,smoore@example.org,2023-11-24,AR
DNR-00031,Kimberly Adkins,Individual,williamsthomas@example.net,2024-06-15,GA
DNR-00032,Jordan York,Individual,larsonemma@example.org,2024-11-13,MO
DNR-00033,Steve Sanchez,Individual,harveyrobert@example.net,2025-08-16,OK
DNR-00034,"Stewart, Green and Santiago",Foundation/Trust,john62@example.net,2024-09-22,SD
DNR-00035,Bryant-Hickman,Foundation/Trust,smithchristine@example.net,2023-10-23,CT
DNR-00036,Medina PLC,Organization,david51@example.org,2023-09-04,MN
DNR-00037,Jeffrey Daniels,Individual,cheryl80@example.net,2025-09-29,GU
DNR-00038,Tara Garcia,Individual,josephpreston@example.net,2024-09-05,OH
DNR-00039,Douglas Clark,Individual,james48@example.com,2025-04-05,KS
DNR-00040,Sarah Davis,Individual,ccalderon@example.org,2026-04-18,MA
DNR-00041,Mandy Green,Individual,barnold@example.net,2026-01-25,AL
DNR-00042,Tony Vazquez,Individual,amydavenport@example.net,2024-04-11,OH
DNR-00043,Cameron Parker,Individual,nolanjason@example.org,2024-12-20,TN
DNR-00044,Gomez PLC,Foundation/Trust,vdickson@example.org,2025-11-24,IA
DNR-00045,Vanessa Cochran,Individual,vjohnson@example.com,2025-09-25,WY
DNR-00046,Rebekah Shields,Individual,josephcobb@example.org,2024-04-09,MS
DNR-00047,Shannon Walker,Individual,ybailey@example.org,2024-01-03,IN
DNR-00048,Corey Murphy,Individual,rasmussenjoshua@example.net,2024-02-10,NY
DNR-00049,William Herrera,Individual,wilsontara@example.org,2024-05-23,OR
DNR-00050,Deborah Rodriguez,Individual,yreed@example.com,2025-11-11,NE
DNR-00051,"Joyce, Wilson and Lam",Foundation/Trust,jonathanfletcher@example.org,2025-08-27,NC
DNR-00052,"Mcdaniel, Bentley and Mclaughlin",Organization,michaeljones@example.net,2026-02-13,PW
DNR-00053,Hanson-Alvarado,Foundation/Trust,cortezkevin@example.com,2023-07-24,TN
DNR-00054,Nguyen-Terry,Organization,jamesortega@example.com,2024-02-20,TX
DNR-00055,Carrie Carroll,Individual,akelley@example.com,2024-12-28,LA
DNR-00056,Jordan PLC,Foundation/Trust,steven73@example.net,2025-05-27,NJ
DNR-00057,Toni Fitzgerald,Individual,campbellelizabeth@example.net,2025-12-07,MA
DNR-00058,Trevor Young,Individual,jeffrey32@example.org,2023-07-07,AZ
DNR-00059,John Atkinson,Individual,gibsonolivia@example.net,2024-12-21,ID
DNR-00060,Janet Ross,Individual,dianasmith@example.org,2024-06-30,WI
DNR-00061,Christopher Rubio,Individual,pwilliams@example.org,2024-02-03,NH
DNR-00062,John Schmidt,Individual,stephanie79@example.net,2025-03-03,MH
DNR-00063,"Simmons, Meadows and Griffin",Organization,juliawells@example.com,2024-08-11,WV
DNR-00064,Mark Cannon,Individual,rsims@example.com,2024-05-26,CA
DNR-00065,Cynthia Rogers,Individual,taylorjesse@example.net,2023-07-02,FL
DNR-00066,Amy Russell,Individual,nperry@example.com,2026-03-27,MS
DNR-00067,  LAUREN DOMINGUEZ  ,Individual,wwoods@example.com,2025-07-13,WV
DNR-00068,Castaneda-Ashley,Organization,vmedina@example.net,2025-03-21,AS
DNR-00069,Connie Robinson,Individual,ytucker@example.com,2024-11-05,TN
DNR-00070,"Yates, Ramsey and Pittman",Foundation/Trust,tinaferguson@example.com,2023-12-09,OR
DNR-00071,"Alvarado, Miller and Patterson",Organization,qwhite@example.com,2026-03-22,MD
DNR-00072,Gabriel Juarez,Individual,aramirez@example.com,2024-03-14,MP
DNR-00073,Alec Ryan,Individual,jeffrey10@example.org,2026-02-28,IA
DNR-00074,Combs PLC,Organization,johnwells@example.org,2024-06-03,OK
DNR-00075,Julie Scott,Individual,gary91@example.org,2025-11-13,ME
DNR-00076,Alexander Collins,Individual,tsanders@example.org,2024-08-15,CA
DNR-00077,"Vaughn, Burton and Garcia",Organization,melissa91@example.net,2025-09-25,WY
DNR-00078,Joseph Stanley,Individual,huntermatthew@example.com,2025-08-03,GU
DNR-00079,Jeffrey Cox PhD,Individual,bzimmerman@example.org,2026-01-10,VA
DNR-00080,Marie Gilbert,Individual,umarshall@example.net,2024-10-03,KY
DNR-00081,Christian-Rivas,Organization,ramirezshannon@example.com,2023-08-13,OK
DNR-00082,Jamie Johnson,Individual,hunter35@example.com,2024-10-14,MA
DNR-00083,Kyle Beard,Individual,blackjames@example.org,2023-07-15,VA
DNR-00084,Justin Allen,Individual,fbrewer@example.com,2023-10-29,WY
DNR-00085,Edward Sullivan,Individual,kevinperkins@example.com,2023-09-03,OH
DNR-00086,Jessica Reese,Individual,michael74@example.com,2023-11-23,KS
DNR-00087,Nathan Stewart,Individual,jamesrodgers@example.com,2025-01-21,VA
DNR-00088,Paige Carlson,Individual,wallkenneth@example.com,2024-09-11,HI
DNR-00089,Smith-Ferguson,Organization,brandon08@example.com,2026-02-23,UT
DNR-00090,Margaret Mullins,Individual,salasaudrey@example.com,2026-02-23,NJ
DNR-00091,Cody Williams,Individual,ewilson@example.com,2024-07-24,NM
DNR-00092,Mark Brown,Individual,lisaavery@example.org,2025-11-29,IA
DNR-00093,Grant Group,Organization,kimberlyjames@example.com,2025-10-19,ME
DNR-00094,Wanda Torres,Individual,lynchjody@example.org,2023-10-19,SC
DNR-00095,Baker Inc,Organization,johnarnold@example.org,2024-01-18,AL
DNR-00096,Michael Harrison,Individual,halljasmine@example.net,2025-05-25,VI
DNR-00097,Michael Bradshaw,Individual,ronaldstephens@example.net,2024-02-09,FL
DNR-00098,Samantha Jones,Individual,lauralarson@example.net,2024-07-24,PW
DNR-00099,Caleb Barker,Individual,gbender@example.net,2024-04-13,NM
DNR-00100,Kyle Preston,Individual,cassandra01@example.org,2025-01-21,TX
DNR-00101,Laura Sampson,Individual,barbara27@example.net,2023-12-02,SD
DNR-00102,Donald Shea,Individual,fwalters@example.org,2024-01-17,NJ
DNR-00103,Gary Santiago,Individual,marksteele@example.com,2023-07-31,TN
DNR-00104,Robin Pierce,Individual,qmiller@example.com,2024-10-27,DE
DNR-00105,Hancock-Bryan,Foundation/Trust,sandovalamy@example.com,2026-03-21,AR
DNR-00106,Isaiah Avila,Individual,nwolf@example.com,2025-09-29,OH
DNR-00107,Dwayne Gilmore,Individual,omartinez@example.net,2024-06-02,AS
DNR-00108,Mckinney LLC,Organization,tranchristopher@example.org,2025-09-07,NH
DNR-00109,Maria Moore,Individual,william46@example.com,2026-01-17,NJ
DNR-00110,Juan Reyes,Individual,michellehill@example.com,2026-03-23,MA
DNR-00111,Katie Hoover,Individual,jessica99@example.net,2025-02-27,NM
DNR-00112,Jill Washington,Individual,andrea86@example.com,2023-10-28,MD
DNR-00113,Pollard and Sons,Foundation/Trust,xhall@example.com,2023-11-02,AZ
DNR-00114,Garner-Thornton,Organization,qhughes@example.net,2023-10-26,FL
